s,Pa,m/s,
Time,"pres","error","iter"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528471E-003, 2.2125565E-005, 1.8166541E-003, 1.0000000E+001
 7.9056942E-003, 1.9544998E-004, 3.3541364E-003, 1.0000000E+001
 1.1858541E-002, 7.0216763E-004, 4.5546610E-003, 1.0000000E+001
 1.5811388E-002, 1.7504782E-003, 5.4141476E-003, 1.0000000E+001
 1.9764235E-002, 3.5410558E-003, 5.9692719E-003, 1.0000000E+001
 2.3717082E-002, 6.2327172E-003, 6.2807730E-003, 1.0000000E+001
 2.7669930E-002, 9.9131018E-003, 6.4173548E-003, 1.0000000E+001
 3.1622777E-002, 1.4579455E-002, 6.4426623E-003, 1.0000000E+001
 3.5575624E-002, 2.0132884E-002, 6.4067031E-003, 1.0000000E+001
 3.9528471E-002, 2.6386887E-002, 6.3418721E-003, 1.0000000E+001
 4.3481318E-002, 2.8864306E-002, 6.2743989E-003, 4.0000000E+000
 4.7434165E-002, 3.1494413E-002, 6.3535839E-003, 4.0000000E+000
 5.1387012E-002, 3.4229039E-002, 6.3892605E-003, 4.0000000E+000
 5.5339859E-002, 3.7016383E-002, 6.3620906E-003, 4.0000000E+000
 5.9292706E-002, 3.9803299E-002, 6.2768292E-003, 4.0000000E+000
 6.3245553E-002, 4.2537585E-002, 6.1377662E-003, 4.0000000E+000
 6.7198400E-002, 4.5170146E-002, 5.9849489E-003, 4.0000000E+000
 7.1151247E-002, 4.7656911E-002, 5.9373951E-003, 4.0000000E+000
 7.5104094E-002, 4.9960390E-002, 5.8749591E-003, 4.0000000E+000
 7.9056942E-002, 5.2050805E-002, 5.7897450E-003, 4.0000000E+000
 8.3009789E-002, 5.3906741E-002, 5.6736296E-003, 4.0000000E+000
 8.6962636E-002, 5.5515339E-002, 5.5186541E-003, 4.0000000E+000
 9.0915483E-002, 5.6872016E-002, 5.3174244E-003, 4.0000000E+000
 9.4318907E-002, 5.9423881E-002, 5.0762701E-003, 4.0000000E+000
 9.7722331E-002, 6.0523835E-002, 4.7793883E-003, 4.0000000E+000
 1.0112576E-001, 6.1399897E-002, 4.4251530E-003, 4.0000000E+000
 1.0404724E-001, 6.3031430E-002, 4.0459645E-003, 4.0000000E+000
 1.0696872E-001, 6.3694016E-002, 3.6111791E-003, 4.0000000E+000
 1.0989021E-001, 6.4198502E-002, 3.1253874E-003, 4.0000000E+000
 1.1246275E-001, 6.5157538E-002, 2.6376583E-003, 4.0000000E+000
 1.1503529E-001, 6.5506159E-002, 2.1117187E-003, 4.0000000E+000
 1.1760783E-001, 6.5753997E-002, 1.5568900E-003, 4.0000000E+000
 1.1991373E-001, 6.6251969E-002, 1.0324654E-003, 4.0000000E+000
 1.2221962E-001, 6.6373406E-002, 4.9912346E-004, 3.0000000E+000
 1.2452551E-001, 6.6262541E-002, 2.6323004E-004, 1.0000000E+000
 1.2683141E-001, 6.6162809E-002, 5.5718633E-004, 4.0000000E+000
 1.2887248E-001, 6.6023112E-002, 9.9816332E-004, 4.0000000E+000
 1.3091354E-001, 6.5772274E-002, 1.4167966E-003, 4.0000000E+000
 1.3295461E-001, 6.5391930E-002, 1.8073943E-003, 4.0000000E+000
 1.3499568E-001, 6.4865585E-002, 2.1630960E-003, 4.0000000E+000
 1.3703674E-001, 6.4177414E-002, 2.4807952E-003, 4.0000000E+000
 1.3886147E-001, 6.2495415E-002, 2.7151853E-003, 4.0000000E+000
 1.4068620E-001, 6.1359191E-002, 2.9114765E-003, 4.0000000E+000
 1.4251093E-001, 6.0022551E-002, 3.0704116E-003, 4.0000000E+000
 1.4433565E-001, 5.8483042E-002, 3.1943138E-003, 4.0000000E+000
 1.4616038E-001, 5.6743844E-002, 3.2864793E-003, 4.0000000E+000
 1.4798511E-001, 5.4813905E-002, 3.3506940E-003, 4.0000000E+000
 1.4980983E-001, 5.2707788E-002, 3.3909477E-003, 4.0000000E+000
 1.5163456E-001, 5.0445286E-002, 3.4112139E-003, 4.0000000E+000
 1.5327452E-001, 4.5522612E-002, 3.4082911E-003, 4.0000000E+000
 1.5491447E-001, 4.2806144E-002, 3.3917863E-003, 4.0000000E+000
 1.5655443E-001, 4.0029897E-002, 3.3635818E-003, 4.0000000E+000
 1.5819438E-001, 3.7228234E-002, 3.3253251E-003, 4.0000000E+000
 1.5983433E-001, 3.4436213E-002, 3.2778996E-003, 4.0000000E+000
 1.6147429E-001, 3.1688520E-002, 3.2213104E-003, 4.0000000E+000
