s,status
Time,"MY PID"
 4.8000000E+001,-1
 4.8028866E+001,-1
 4.8057735E+001,-1
 4.8086601E+001,-1
 4.8115471E+001,-1
 4.8144337E+001,-1
 4.8173206E+001,-1
 4.8195396E+001,-1
 4.8217587E+001,-1
 4.8239780E+001,-1
 4.8261971E+001,-1
 4.8280369E+001,-1
 4.8298763E+001,-1
 4.8319000E+001,-1
 4.8341259E+001,-1
 4.8363518E+001,-1
 4.8382271E+001,-1
 4.8401028E+001,-1
 4.8417213E+001,-1
 4.8430679E+001,-1
 4.8442760E+001,-1
 4.8454838E+001,-1
 4.8465206E+001,-1
 4.8475571E+001,-1
 4.8484177E+001,-1
 4.8492779E+001,-1
 4.8501385E+001,-1
 4.8509075E+001,-1
 4.8516766E+001,-1
 4.8524456E+001,-1
 4.8531120E+001,-1
 4.8537781E+001,-1
 4.8544445E+001,-1
 4.8551109E+001,-1
 4.8556911E+001,-1
 4.8562714E+001,-1
 4.8568516E+001,-1
 4.8574322E+001,-1
 4.8580124E+001,-1
 4.8585926E+001,-1
 4.8591728E+001,-1
 4.8597530E+001,-1
 4.8603333E+001,-1
 4.8609138E+001,-1
 4.8614941E+001,-1
 4.8620743E+001,-1
 4.8626545E+001,-1
 4.8632347E+001,-1
 4.8638153E+001,-1
 4.8643955E+001,-1
 4.8649757E+001,-1
 4.8655560E+001,-1
 4.8660717E+001,-1
 4.8665874E+001,-1
 4.8671032E+001,-1
 4.8676189E+001,-1
 4.8681347E+001,-1
 4.8686504E+001,-1
 4.8696815E+001,-1
 4.8710384E+001,-1
 4.8723949E+001,-1
 4.8732994E+001,-1
 4.8745544E+001,-1
 4.8757587E+001,-1
 4.8769630E+001,-1
 4.8780319E+001,-1
 4.8794571E+001,-1
 4.8806469E+001,-1
 4.8817284E+001,-1
 4.8830345E+001,-1
 4.8840794E+001,-1
 4.8852520E+001,-1
 4.8865841E+001,-1
 4.8877388E+001,-1
 4.8888935E+001,-1
 4.8900486E+001,-1
 4.8912418E+001,-1
 4.8924355E+001,-1
 4.8936459E+001,-1
 4.8949589E+001,-1
 4.8960243E+001,-1
 4.8973663E+001,-1
 4.8984394E+001,-1
 4.8997311E+001,-1
 4.9009117E+001,-1
 4.9021290E+001,-1
 4.9033466E+001,-1
 4.9045643E+001,-1
 4.9058224E+001,-1
 4.9069386E+001,-1
 4.9080547E+001,-1
 4.9093941E+001,-1
 4.9105103E+001,-1
 4.9116261E+001,-1
 4.9129654E+001,-1
 4.9140816E+001,-1
 4.9154209E+001,-1
 4.9165371E+001,-1
 4.9176533E+001,-1
 4.9189926E+001,-1
 4.9200840E+001,-1
 4.9212742E+001,-1
 4.9224648E+001,-1
 4.9236553E+001,-1
 4.9248459E+001,-1
 4.9260365E+001,-1
 4.9272270E+001,-1
 4.9285553E+001,-1
 4.9296249E+001,-1
 4.9308727E+001,-1
 4.9321209E+001,-1
 4.9333687E+001,-1
 4.9344383E+001,-1
 4.9356861E+001,-1
 4.9369339E+001,-1
 4.9380924E+001,-1
 4.9392693E+001,-1
 4.9404457E+001,-1
 4.9416222E+001,-1
 4.9429951E+001,-1
 4.9441715E+001,-1
 4.9453480E+001,-1
 4.9465244E+001,-1
 4.9477013E+001,-1
 4.9489758E+001,-1
 4.9501621E+001,-1
 4.9513485E+001,-1
 4.9524841E+001,-1
 4.9537560E+001,-1
 4.9548157E+001,-1
 4.9560207E+001,-1
 4.9573494E+001,-1
 4.9584881E+001,-1
 4.9596268E+001,-1
 4.9609550E+001,-1
 4.9620941E+001,-1
 4.9632328E+001,-1
 4.9644821E+001,-1
 4.9656723E+001,-1
 4.9668621E+001,-1
 4.9680695E+001,-1
 4.9693783E+001,-1
 4.9705006E+001,-1
 4.9716225E+001,-1
 4.9729877E+001,-1
 4.9740780E+001,-1
 4.9752094E+001,-1
 4.9765671E+001,-1
 4.9776985E+001,-1
 4.9789799E+001,-1
 4.9801849E+001,-1
 4.9813210E+001,-1
 4.9825661E+001,-1
 4.9836334E+001,-1
 4.9848785E+001,-1
 4.9860168E+001,-1
 4.9872299E+001,-1
 4.9884933E+001,-1
 4.9896164E+001,-1
 4.9908726E+001,-1
 4.9921543E+001,-1
 4.9932762E+001,-1
 4.9945580E+001,-1
 4.9956795E+001,-1
 4.9968010E+001,-1
 4.9980831E+001,-1
 4.9992687E+001,-1
 5.0005024E+001,-1
 5.0016304E+001,-1
 5.0029877E+001,-1
 5.0041508E+001,-1
 5.0054111E+001,-1
 5.0064774E+001,-1
 5.0077572E+001,-1
 5.0088234E+001,-1
 5.0101032E+001,-1
 5.0112339E+001,-1
 5.0124477E+001,-1
 5.0136478E+001,-1
 5.0148151E+001,-1
 5.0160797E+001,-1
 5.0172638E+001,-1
 5.0184860E+001,-1
 5.0196983E+001,-1
 5.0208004E+001,-1
 5.0220127E+001,-1
 5.0232250E+001,-1
 5.0244370E+001,-1
 5.0256493E+001,-1
 5.0268616E+001,-1
 5.0280739E+001,-1
 5.0292862E+001,-1
 5.0304985E+001,-1
 5.0316006E+001,-1
 5.0328125E+001,-1
 5.0340248E+001,-1
 5.0352371E+001,-1
 5.0364494E+001,-1
 5.0376617E+001,-1
 5.0388741E+001,-1
 5.0400864E+001,-1
 5.0412983E+001,-1
 5.0424004E+001,-1
 5.0436127E+001,-1
 5.0448250E+001,-1
 5.0460373E+001,-1
 5.0472496E+001,-1
 5.0484619E+001,-1
 5.0496738E+001,-1
 5.0508862E+001,-1
 5.0520985E+001,-1
 5.0532005E+001,-1
 5.0544128E+001,-1
 5.0556252E+001,-1
 5.0568375E+001,-1
 5.0580498E+001,-1
 5.0592617E+001,-1
 5.0604740E+001,-1
 5.0616863E+001,-1
 5.0628986E+001,-1
 5.0640007E+001,-1
 5.0652130E+001,-1
 5.0664253E+001,-1
 5.0676373E+001,-1
 5.0688496E+001,-1
 5.0700619E+001,-1
 5.0712742E+001,-1
 5.0724865E+001,-1
 5.0736988E+001,-1
 5.0748009E+001,-1
 5.0760128E+001,-1
 5.0772251E+001,-1
 5.0784374E+001,-1
 5.0796497E+001,-1
 5.0808620E+001,-1
 5.0820744E+001,-1
 5.0832867E+001,-1
 5.0844986E+001,-1
 5.0856007E+001,-1
 5.0868130E+001,-1
 5.0880253E+001,-1
 5.0892376E+001,-1
 5.0904499E+001,-1
 5.0916622E+001,-1
 5.0928741E+001,-1
 5.0940865E+001,-1
 5.0952988E+001,-1
 5.0964008E+001,-1
 5.0976131E+001,-1
 5.0988255E+001,-1
 5.1000378E+001,-1
 5.1012501E+001,-1
 5.1024071E+001,-1
 5.1036194E+001,-1
 5.1048317E+001,-1
 5.1060440E+001,-1
 5.1072559E+001,-1
 5.1084736E+001,-1
